address	categories	city	country_code	country_name	description	domain	domain_suffix	email	language	link	name	page_type	phone	phone_country_code	raw_address	raw_phone	region_code	region_name	site_name	text	tld	zip_code
400 Scott St, St. Catharines, ON L2M 3W2, Canada	Book Stores	st. catharines	ca	canada		heritagecbs.com	com		en		Heritage Christian Book Store		19059374553	ca	400 Scott St · In Grantham Plaza	+1 905-937-4553	on	ontario	Hope	4.7 (100) · Book store 400 Scott St · In Grantham Plaza Closes soon ⋅ 5PM · +1 905-937-4553 In-store shopping·Curbside pickup·Delivery	com	l2m 3w2
pra health sciences, 4130 park lake avenue, suite 400, 27612, raleigh, nc, north carolina	Medical Research	raleigh	us	united states		prahs.com	com		en		PRA Health Sciences		19197868200	us	Raleigh, NC	(919) 786-8200	nc	north carolina	PRA Health Sciences	4.0 (8) · Corporate office Raleigh, NC Closed ⋅ Opens 8AM Mon · (919) 786-8200	com	27612
101 north 14th street, 17th floor, 23219, richmond, va, virginia	Executive, Legislative & Government Institutions	richmond	us	united states		dvs.virginia.gov	gov		en		Virginia Department of Veterans Services		18047860286	us	Richmond, VA, United States	+1 804-786-0286	va	virginia	Virginia Department of Veterans Services	3.7 (3) · Government office Richmond, VA, United States Closed ⋅ Opens 8AM Mon · +1 804-786-0286	gov	23219
12328-104 ave, t5n0v3, edmonton, ab, canada, alberta	Other Engineering Services	edmonton	ca	canada		designworkseng.com	com		en		Design Works Engineering		17802440252	ca	5+ years in business · Edmonton, AB, Canada	+1 780-244-0252	ab	alberta	Design Works Engineering	5.0 (5) · Engineering consultant 5+ years in business · Edmonton, AB, Canada Closed ⋅ Opens 9AM Mon · +1 780-244-0252	com	t5n 0v3
Hofer Str. 15, 81737 München, Germany	Medical Laboratories	munchen	de	germany		labor-staber.de	de		de	https://bonnersferry.id.gov	LABOR STABER München	Organization	49896302380	de	Hofer Str. 15	+49 89 6302380	by	bavaria	Labor Staber	Munich, Germany · +49 89 6302380 Closed ⋅ Opens 8AM	de	81737
서원구 1순환로 776, 28644, cheongju, chungcheongbuk-do, south korea, chungcheongbuk-do	Clinics - Surgeons & Physicians	cheongju-si	kr	South Korea		cbnuh.or.kr	or.kr		none		충북대학교병원		82432696114	kr	Cheongju-si, Chungcheongbuk-do, South Korea	+82 43-269-6114	43	north chungcheong	cungbugdaehaggyobyeongweon	"3.4 (65) · University hospital Cheongju-si, Chungcheongbuk-do, South Korea Open 24 hours · +82 43-269-6114 \The only one university hospital in Cheongju city.\"""""	kr	
1840 arlington street, r2x 1w5, winnipeg, mb, canada, manitoba	Butcher shop	winnipeg	ca	canada		harrismeatsandgroceries.com	com		en		Harris Meats & Groceries		12043398406	ca	Winnipeg, MB, Canada	+1 204-339-8406	mb	manitoba		"4.3 (215) · Grocery store Winnipeg, MB, Canada Closed ⋅ Opens 9AM Mon · +1 204-339-8406 \Excellent small neighbourhood grocery store.\"" In-store shopping·Delivery"""	com	r2x 1w5
school administrative offices, 100 n main st, 23434, suffolk, va, virginia	Other schools	suffolk	us	united states	The Independent Mortgage Brokers at Coast to Coast Mortgage Group are a highly experienced group of professionals who can help you find the best mortgage r Additional Information The Independent Mortgage Brokers at Coast to Coast Mortgage Group are a highly experienced group of professionals who can help you find the best mortgage rates possible. Products Mortgage Broker	spsk12.net	net	info@coasttocoastmortgage.ca		https://coasttocoastmortgage.ca	Suffolk VA Public Schools	LocalBusiness	17579256750		Suffolk, VA	(757) 925-6750	va	virginia	SPS	2.5 (17) · School district office Suffolk, VA Closed ⋅ Opens 8AM Mon · (757) 925-6750	net	23434
30 Eglinton Ave W Unit 410, Mississauga, ON L5R 3E7, Canada	Employment Agencies & HR Consulting	brampton	ca	canada		verticalstaffingresources.com	com		en		Vertical Staffing Resources Inc.		19055930937	ca	30 Eglinton Ave W Unit 410 · In Eglinton west commercial centre	+1 905-593-0937	on	ontario	Vertical Staffing Resources	2.9 (24) · Unemployment office 30 Eglinton Ave W Unit 410 · In Eglinton west commercial centre Closed ⋅ Opens 8AM · +1 905-593-0937	com	l5r 3e7
46 baldwin street, l1m 1a2, whitby, on, canada, ontario	Computer Repair & Service	whitby	ca	canada		skyviewelectronics.com	com		en		Skyview Electronics Inc.		19056553661	ca	Whitby, ON, Canada	+1 905-655-3661	on	ontario	Skyview Electronics	4.9 (72) · Computer service Whitby, ON, Canada Open ⋅ Closes 6PM · +1 905-655-3661	com	l1m 1a2
148 s. elder, 49327, grant, mi, michigan	High Schools	grant	us	united states		grantps.net	net		en		Grant Public Schools		12318345621		Grant, MI	(231) 834-5621	mi	michigan	Grant Public Schools	No reviews · School district office Grant, MI (231) 834-5621	net	49327
7 maple ave, 10706, hastings-on-hudson, ny, new york	Community Center	hastings-on-hudson	us	united states		hastingsgov.org	org		en	https://beehivepark.com	Hastings-on-Hudson	LocalBusiness	19144783400	us	Hastings-On-Hudson, NY, United States	+1 914-478-3400	ny	new york	Hastings Police Anonymous	No reviews · Government office Hastings-On-Hudson, NY, United States Closed ⋅ Opens 8:30AM Mon · +1 914-478-3400	org	10706
6330 e thomas road, suite 200, 85251, scottsdale, az, arizona	Tech Companies	scottsdale	us	united states		paradox.ai	ai		en		Paradox, Inc.		18882834817		Scottsdale, AZ · In The Quad	(888) 283-4817	az	arizona	Paradox	No reviews · Corporate office Chicago, IL · In Chicago Union Station (888) 283-4817	ai	85251
6832 phillips mill rd, 18938, new hope, pa, pennsylvania	Preparatory Schools	new hope	us	united states		solebury.org	org		en		Solebury School		12158625261	us	New Hope, PA	(215) 862-5261	pa	pennsylvania	Solebury School	"4.7 (16) · Private educational institution New Hope, PA (215) 862-5261 \Great high school kids love to learn there.\"""""	org	18938
2303 kenmore ave, 14207, buffalo, ny, new york	Charter Schools	buffalo	us	united states	Yesterday, we kicked off our inaugural “Empowered Women: Rising Together” virtual symposium for our EMPOWER ERG members. We asked our leaders to share a story about a woman who influenced them in their career, and here's what they said. #AramarkEMPOWER #WomensHistoryMonth 43	csat-k12.org	org		en	https://aramark.com	The Official Charter School for Applied Technologies	Organization	17168767505	us	Buffalo, NY	(716) 876-7505	ny	new york	CSAT	4.5 (17) · School Buffalo, NY Open ⋅ Closes 4PM · (716) 876-7505	org	14207
7030 woodbine ave.  suite 103, l3r 6g2, markham, on, canada, ontario	Real Estate - Agents & Managers	markham	ca	canada		baytreerealcapital.com	com		en		Baytree Real Capital Inc.		14162265999	ca	7030 Woodbine Ave Suite 103	+1 416-226-5999	on	ontario	Baytree Real	No reviews · Real estate consultant 7030 Woodbine Ave Suite 103 +1 416-226-5999	com	l3r 6g2
800 n. main st., 67114, newton, ks, kansas	Courthouses	newton	us	united states		harveycounty.com	com		en		Harvey County		13162846800		Newton, KS	(316) 284-6800	ks	kansas	Harvey County	3.3 (3) · County government office Newton, KS Closed ⋅ Opens 8AM Mon · (316) 284-6800	com	67114
29-5200 dixie rd., l4w 1b2, mississauga, on, canada, ontario	Blinds, Curtains & Draperies	mississauga	ca	canada		curtaincallinc.ca	ca		en	https://arcgpw.org	Curtain Call Creative Fabric Inc.	Organization	19052386622	ca	Mississauga, ON, Canada	+1 905-238-6622	on	ontario	Curtain Call	4.2 (5) · Fabric wholesaler Mississauga, ON, Canada Open ⋅ Closes 5PM · +1 905-238-6622	ca	l4w 1b2
7000 N Leadbetter Rd, Portland, OR 97203	Sporting Goods Store	castle rock	us	united states		columbia.com	com		en		Columbia Sportswear Company		18006226953	us	7000 N Leadbetter Rd	(800) 622-6953	or	colorado	Tough Mother Outdoor Guide	"4.2 (128) · Sportswear store 7000 N Leadbetter Rd Open 24 hours · (800) 622-6953 \Just a warehouse for Columbia.\"" In-store shopping"""	com	97203
Plaisance, Quebec, Canada	Other Engineering Services	ottawa	ca	canada	Ajax Creative is a video production agency based in Ottawa & Toronto, Canada. We work with successful companies domestically and internationally that wish to target consumers using high-quality video content. Additional Information Our mission is to be recognized globally for the positive impact in all that we provide for our customers, employees and the communities we serve. We are commi...tted to continuous improvement of our business & maintaining a rewarding environment to accomplish our mission. We strive to build long-term relationships with each customer as an individual. We work with successful companies domestically and internationally that wish to target Canadian consumers using high-quality video content.  Products Video Production Services Special Effects Corporate Videos... Brand Films Product Videos Animation Videos Educational Videos Testimonials Company Culture Videos Explainer & Tutorial Videos	boiserietaillon.ca	ca	info@ajaxcreative.com	fr	http://ajaxcreative.com	Boiserie Taillon Construction	LocalBusiness	18194278112	ca	Plaisance, Quebec, Canada	+1 819-427-8112		ontario	Boiserie Taillon	No reviews · Cabinet maker Plaisance, Quebec, Canada Open ⋅ Closes 4PM · +1 819-427-8112 Onsite services	ca	
3200 airline dr, 71111, bossier city, la, louisiana	Churches & Religious Organizations	bossier city	us	united states		asburybossier.org	org				Asbury United Methodist		13187465349			(318) 746-5349	la	louisiana	Asbury Bossier	4.6 (34) · Methodist church 3200 Airline Dr (318) 746-5349	org	71111
199 boul. sir-wilfrid-laurier, j3g 4g8, beloeil, qc, canada, quebec	Notaries	beloeil	ca	canada		notairesbeloeil.ca	ca		fr		Lambert & Olivier Notaires inc.		14504672418	ca	30+ years in business · Beloeil, Quebec, Canada	+1 450-467-2418	qc	quebec	Lambert & Olivier Notaires	4.2 (5) · Notary public 30+ years in business · Beloeil, Quebec, Canada Closed ⋅ Opens 9AM Mon · +1 450-467-2418	ca	j3g 4g8
10138 ON-26, Collingwood, ON L9Y 3Z1, Canada	Colleges & Universities	collingwood	ca	canada		elephantthoughts.com	com		en		Elephant Thoughts		17054442012	ca	7+ years in business · Collingwood, ON, Canada	+1 705-444-2012	on	ontario	Elephant Thoughts	4.5 (10) · Education center 7+ years in business · Collingwood, ON, Canada +1 705-444-2012 Onsite services not available	com	l9y 3z1
1650 argyle street, halifax, ns, canada, nova scotia	Events Venues	halifax	ca	canada		halifaxconventioncentre.com	com		en	https://beaumart.ca	Halifax Convention Centre	LocalBusiness	19024211302	ca	1650 Argyle St	+1 902-421-1302	ns	nova scotia	Halifax Convention Centre	4.5 (416) · Convention center 1650 Argyle St +1 902-421-1302	com	b3j 0e6
593249 oxford road 13, rr #3, n0j 1p0, norwich, on, canada, ontario	Farm Equipment	norwich	ca	canada		sunrise-equipment.com	com		en		Sunrise Equipment Auctions Inc		15194249993	ca	Norwich, ON, Canada	+1 519-424-9993	on	ontario	Sunrise Equipment	3.1 (11) · Farm equipment supplier Norwich, ON, Canada Closed ⋅ Opens 9AM Mon · +1 519-424-9993	com	n0j 1p0
1390 lawrence st, 80204, denver, co, colorado	Social Services & NGOs	denver	us	united states		kippcolorado.org	org		en		KIPP Colorado Schools		13039343245		Denver, CO	(303) 934-3245	co	colorado	KIPP Colorado Schools	No reviews · Non-profit organization Denver, CO (303) 934-3245	org	80204
81  groce rd, 29365, lyman, sc, south carolina	Executive, Legislative & Government Institutions	lyman	us	united states		lymansc.gov	gov		en	https://brevardschools.org/oceanbreezees	Town of Lyman, SC	Organization	18644393453		Lyman, SC	(864) 439-3453	sc	south carolina	Town of Lyman	2.3 (3) · City government office Lyman, SC (864) 439-3453	gov	29365
83 mountain road, 06078, suffield, ct, connecticut	Executive, Legislative & Government Institutions	suffield	us	united states		suffieldct.gov	gov		en		Town of Suffield		18606683320		Suffield, CT	(860) 668-3320	ct	connecticut	Suffield Firefighters Association	5.0 (1) · Government office Suffield, CT Closed ⋅ Opens 8AM · (860) 668-3320	gov	06078
1135 n lakewood ct, s4x 3s3, regina, sk, canada, saskatchewan	Dental Laboratory	regina	ca	canada		diamonddental.ca	ca		en		Diamond Dental Laboratory Ltd.		13063470600	ca	Regina, SK, Canada	+1 306-347-0600	sk	saskatchewan	Informaton	5.0 (2) · Dental laboratory Regina, SK, Canada Open now · +1 306-347-0600	ca	s4x 3s3
4450 rue saint-hubert, local 320, h2j 2w9, montreal, qc, canada, quebec	Social Services & NGOs	montreal	ca	canada		autisme-montreal.com	com		fr		Autisme Montréal		15145246114	ca	Montreal, Quebec, Canada	+1 514-524-6114	qc	quebec	Autisme Montreal	4.0 (25) · Non-profit organization Montreal, Quebec, Canada +1 514-524-6114 Their website mentions transportation service and handicap	com	
201 park st, 53538, fort atkinson, wi, wisconsin	High Schools	fort atkinson	us	united states		fortschools.org	org		en		School District of Fort Atkinson		19205637800	us	201 Park St · In the Luther Elementary School	+1 920-563-7800	wi	wisconsin	Room 4P	3.9 (11) · School district office 201 Park St · In the Luther Elementary School Open ⋅ Closes 4PM · +1 920-563-7800	org	53538
7204 96a avenue nw, t6b 1b6, edmonton, ab, canada, alberta	Construction Services|Heating & Air Conditioning|Plumbing Services	edmonton	ca	canada		macplumbing.ca	ca		en		M.A.C. Plumbing & Heating Inc.		17807602200	ca	7+ years in business · Edmonton, AB, Canada	+1 780-760-2200	ab	alberta	M.A.C. Plumbing	5.0 (27) · Mechanical contractor 7+ years in business · Edmonton, AB, Canada Closed ⋅ Opens 12AM Mon · +1 780-760-2200	ca	t6b 1b6
711 wiley ave, 75670, marshall, tx, texas	Colleges & Universities	marshall	us	united states		wileyc.edu	edu		en		Wiley College		19039273300		Marshall, TX	(903) 927-3300	tx	texas	Wiley College	3.8 (50) · College Marshall, TX (903) 927-3300	edu	75670
head office/retail support center 100 sunray st., l1n 8y3, whitby, on, canada, ontario	Organic farms	whitby	ca	canada		thegroceryoutlet.ca	ca		en	https://continental.com	The Grocery Outlet- Almost Perfect	Organization	19056666868	ca	133 Taunton Rd W	+1 905-666-6868	on	ontario	The Grocery Outlet	4.4 (247) · Frozen food store 133 Taunton Rd W Closed ⋅ Opens 9AM Mon · +1 905-666-6868 In-store shopping	ca	l1n 8y3
5661 7 St NE, Calgary, AB T2E 8V3, Canada	Home Builders & Renovation Contractors	calgary	ca	canada		shanehomes.com	com		en	https://clarion.com/xl/es/top.html	Shane Homes	Organization	14035362200	ca	40+ years in business · Calgary, AB, Canada	+1 403-536-2200	ab	alberta	Shane Homes	4.7 (220) · Home builder 40+ years in business · Calgary, AB, Canada Closed ⋅ Opens 8AM Mon · +1 403-536-2200	com	t2e 8v3
nobleton ontario, nobleton, on, canada, ontario	Home Builders & Renovation Contractors	concord	ca	canada		fandorhomes.com	com		en		Fandor Homes		19056695820	ca	7+ years in business · Concord, ON, Canada	+1 905-669-5820	on	ontario	Fandor Homes	3.2 (14) · Home builder 7+ years in business · Concord, ON, Canada Open ⋅ Closes 5PM · +1 905-669-5820	com	l4k 4z7
10901 gold center dr, ste 400, 95670, rancho cordova, ca, california	Dentists & Dental Clinics	rancho cordova	us	united states	Johanne se fait un plaisir de transmettre ses connaissances. Impressum Tout le monde devrait comprendre et admettre que la vie après la vie est une réalité. La vie sur terre est plus agréable en se sachant accompagné. Products Différents cours et ateliers de formation à l'ésotérisme	emsa.ca.gov	gov		en	https://audeladesmots.com	California Emergency Medical Services Authority (EMSA)	LocalBusiness	19163224336		Rancho Cordova, CA	(916) 322-4336	ca	california	EMSA	4.0 (2) · Corporate office Rancho Cordova, CA Open 24 hours · (916) 322-4336	gov	95670
1700 s main st, 46526, goshen, in, indiana	Colleges & Universities	goshen	us	united states		goshen.edu	edu		en		Goshen College		15745357000	us	Goshen, IN	(574) 535-7000	in	indiana	Goshen College	"4.5 (55) · College Goshen, IN (574) 535-7000 \... while studying in the Communications Department have prepared ...\"""""	edu	46526
2275 boyers road, keswick, on, canada, ontario	Breaks, Wheels & Tire Dealers	keswick	ca	canada		sterlingtire.com	com		en		Sterling Tire Services		19054763507	ca	7+ years in business · 2275 Boyers Rd	+1 905-476-3507	on	ontario	Sterling Tire	4.7 (242) · Tire shop 7+ years in business · 2275 Boyers Rd Open ⋅ Closes 6PM · +1 905-476-3507 In-store shopping·Curbside pickup	com	l4p 3e9
39 merit crescent, r2p 2w5, west st. paul, mb, canada, manitoba	Drywall & Insulation Contractors	st. paul	ca	canada		penta.ca	ca		en		Penta Protective Coatings Ltd.		12049922603	ca	30+ years in business · West St. Paul, MB, Canada	+1 204-992-2603		alberta	Penta Protective Coatings	"4.6 (19) · Insulation contractor 30+ years in business · West St. Paul, MB, Canada Open ⋅ Closes 4PM · +1 204-992-2603 \We are enjoying our insulated shop.\"" Onsite services·Online estimates"""	ca	
2344 south sheridan way, l5j2m4, mississauga, on, canada, ontario	Auto Parts & Repair Shops	mississauga	ca	canada		jrponline.com	com		en		Johnston Research & Performance, Inc. - JRP		19058227223	ca	7+ years in business · Mississauga, ON, Canada	+1 905-822-7223	on	ontario	JRP	4.5 (247) · Auto parts store 2344 S Sheridan Way Closed ⋅ Opens 9AM · +1 905-822-7223 Curbside pickup·Delivery	com	l5j 2m4
3300 fairview st # 13, l7n 3n7, burlington, on, canada, ontario	Phone Repair & Services	burlington	ca	canada		compumobile.com	com		en		CompuMobile		19053338702	ca	7+ years in business · Burlington, ON, Canada	+1 905-333-8702	on	ontario	CompuMobile	"4.4 (293) · Mobile phone repair shop 7+ years in business · Burlington, ON, Canada Closed ⋅ Opens 11AM Mon · +1 905-333-8702 \Good variety of computer supplies and parts.\"""""	com	l7n 3n7
3568 boul. taschreau, j4v 2h7, greenfield park, qc, canada, quebec	Cabinet Makers|Furniture Stores	greenfield park	ca	canada		bella-pietra.ca	ca		en		Bella Pietra		14508126885	ca	Greenfield Park, Quebec, Canada · In Place Greenfield Park	+1 450-812-6885	qc	quebec	Bellapietra	4.2 (53) · Bathroom remodeler Greenfield Park, Quebec, Canada · In Place Greenfield Park Closed ⋅ Opens 10AM Mon · +1 450-812-6885 Their website mentions stone supplier In-store shopping	ca	2h7
5111 benito street, 91763, montclair, ca, california	Auto Services	montclair	us	united states		cityofmontclair.org	org		en	https://amway.com.au	Montclair City Hall	LocalBusiness	19096268571	us	Montclair, CA · In Montclair Civic Center	(909) 626-8571	ca	california	Montclair, CA	2.5 (20) · City Hall Montclair, CA · In Montclair Civic Center Closed ⋅ Opens 7AM Mon · (909) 626-8571	org	91763
1140 champlain st., e1a 8l8, dieppe, nb, canada, new brunswick	Auto Services|Wheels & Tire Dealers	dieppe	ca	canada		pneusgoguentires.ca	ca		en		Les Pneus Goguen Tires Inc.		15063889922	ca	Dieppe, NB, Canada	+1 506-388-9922	nb	new brunswick	Pneus Goguen Tires	4.6 (87) · Car repair and maintenance Dieppe, NB, Canada Closed ⋅ Opens 8AM Mon · +1 506-388-9922	ca	e1a 8l8
1501 main st, 65625, cassville, mo, missouri	Middle Schools	cassville	us	united states		cassville.k12.mo.us	k12.mo.us				Cassville Public Schools		14178472221		1501 Main St	(417) 847-2221	mo	missouri	Eunice Thomas Elementary School	5.0 (1) · Middle school 1501 Main St (417) 847-2221	us	65625
848 courtney street, v8w 1c4, victoria, bc, canada, british columbia	Investment Consultants & Financial Advisors	victoria	ca	canada		tpcfinancial.com	com		en		TPC Financial Group Ltd		12503850058	ca	7+ years in business · 200 - 848 Courtney Street	+1 250-385-0058	bc	british columbia	TPC Financial	5.0 (1) · Financial planner 7+ years in business · 200 - 848 Courtney Street Closed ⋅ Opens 8AM Mon · +1 250-385-0058	com	v8w 1c4
po box 36609, 73136, oklahoma city, ok, oklahoma	Elementary Schools	oklahoma city	us	united states		okcps.org	org		en	https://capitalone.co.uk	Oklahoma City Public Schools	LocalBusiness	14055870000	us		(405) 587-0000	ok	oklahoma	OKCPS	No reviews · Middle school Closed ⋅ Opens 8AM Mon · (405) 587-0000	org	73136
1103 n elm st, 52776, west liberty, ia, iowa	High Schools	west liberty	us	united states		wl.k12.ia.us	k12.ia.us				West Liberty Community School District		13196272116		West Liberty, IA	(319) 627-2116	ia	iowa	West Liberty Community School District	3.0 (2) · School West Liberty, IA Closed ⋅ Opens 7:30AM Mon · (319) 627-2116	us	52776
33 market square, 04281, south paris, me, maine	Executive, Legislative & Government Institutions	south paris	us	united states		parismaine.org	org		en	https://carstar.ca/en/locations/ab/fort-mcmurray/carstar-fort-mcmurray-16306	Paris Town Office	LocalBusiness	12077432501		33 Main St	(207) 743-2501	me	maine	Town of Paris, Maine	4.0 (3) · City government office 33 Main St Open ⋅ Closes 4:30PM · (207) 743-2501	org	04281
1673 lakeshore road west, l5j 1j4, mississauga, on, canada, ontario	Real Estate - Agents & Managers	oakville	ca	canada	Compassionate Care Home & Hospital Health Inc. April 6 at 9:38 AM · Please send your resume to hr@compassionatecare.ca or call 204-943-8887 for more information.	suttonquantum.com	com		en	https://compassionatecare.ca	Sutton Group Quantum Realty Inc., Brokerage	LocalBusiness	19058445000	ca	7+ years in business · 260 Lakeshore Rd E	+1 905-844-5000	on	ontario	Sutton Quantum	4.8 (16) · Real estate agency 7+ years in business · 260 Lakeshore Rd E Closed ⋅ Opens 9AM Mon · +1 905-844-5000	com	l5j 1j4
清水区, 4240881, shizuoka-shi, shizuoka, japan, shizuoka prefecture	Adult Education Schools	ji'an	jp	china		shimizu-tc.ac.jp	ac.jp		ja		清水技術専門校		81543452032	jp	Shizuoka, Japan	+81 54-345-2032		jiangxi		3.5 (4) · Technical school Shizuoka, Japan +81 54-345-2032 Their website mentions shimizu-tc and ac	jp	
101-1701 island hwy, v9b 1j1, victoria, bc, canada, british columbia	Parked Domains	langford	ca	canada		bloommontessori.ca	ca		en		Bloom Montessori		12508123137	ca	5+ years in business · Victoria, BC, Canada	+1 250-812-3137	bc	british columbia	Bloom Montessori	"5.0 (3) · Montessori school 5+ years in business · 1701 Island Hwy #101 +1 250-812-3137 \Exceptional pre-school and amazing teachers!\"""""	ca	
322 summers st, 25951, hinton, wv, west virginia	Railroad Service Companies	hinton	us	united states		hintonwva.com	com		en		City of Hinton Government		13044663255		Hinton, WV	(304) 466-3255	wv	west virginia	City Of Hinton	5.0 (1) · City government office Hinton, WV (304) 466-3255	com	25951
